Time,id,detection_level
1711147088.421161,7,1
1711147088.421161,11,1
1711147088.421161,14,1
1711147088.421161,17,1
1711147088.421161,33,1
1711147088.421161,47,1
1711147088.421161,51,1
1711147088.421161,57,1
1711147088.421161,63,1
1711147088.421161,64,1
1711147088.470524,7,1
1711147088.470524,11,1
1711147088.470524,14,1
1711147088.470524,17,1
1711147088.470524,20,1
1711147088.470524,47,1
1711147088.470524,51,1
1711147088.470524,57,1
1711147088.470524,63,1
1711147088.470524,64,1
1711147088.5203438,7,1
1711147088.5203438,11,1
1711147088.5203438,14,1
1711147088.5203438,17,1
1711147088.5203438,47,1
1711147088.5203438,51,1
1711147088.5203438,57,1
1711147088.5203438,63,1
1711147088.5203438,64,1
1711147088.570402,7,1
1711147088.570402,11,1
1711147088.570402,14,1
1711147088.570402,17,1
1711147088.570402,47,1
1711147088.570402,51,1
1711147088.570402,57,1
1711147088.570402,63,1
1711147088.570402,64,1
1711147088.620377,7,1
1711147088.620377,11,1
1711147088.620377,14,1
1711147088.620377,17,1
1711147088.620377,47,1
1711147088.620377,51,1
1711147088.620377,57,1
1711147088.620377,63,1
1711147088.620377,64,1
1711147088.670532,7,1
1711147088.670532,11,1
1711147088.670532,14,1
1711147088.670532,17,1
1711147088.670532,47,1
1711147088.670532,48,1
1711147088.670532,51,1
1711147088.670532,57,1
1711147088.670532,63,1
1711147088.670532,64,1
1711147088.719611,7,1
1711147088.719611,11,1
1711147088.719611,14,1
1711147088.719611,17,1
1711147088.719611,47,1
1711147088.719611,51,1
1711147088.719611,57,1
1711147088.719611,63,1
1711147088.719611,64,1
1711147088.769562,7,1
1711147088.769562,11,1
1711147088.769562,14,1
1711147088.769562,17,1
1711147088.769562,34,1
1711147088.769562,47,1
1711147088.769562,51,1
1711147088.769562,57,1
1711147088.769562,63,1
1711147088.769562,64,1
1711147088.8204875,7,1
1711147088.8204875,9,1
1711147088.8204875,11,1
1711147088.8204875,14,1
1711147088.8204875,17,1
1711147088.8204875,47,1
1711147088.8204875,51,1
1711147088.8204875,57,1
1711147088.8204875,63,1
1711147088.8204875,64,1
1711147088.869517,7,1
1711147088.869517,9,1
1711147088.869517,11,1
1711147088.869517,14,1
1711147088.869517,17,1
1711147088.869517,47,1
1711147088.869517,51,1
1711147088.869517,57,1
1711147088.869517,63,1
1711147088.869517,64,1
1711147088.9205,7,1
1711147088.9205,9,1
1711147088.9205,11,1
1711147088.9205,14,1
1711147088.9205,15,1
1711147088.9205,17,1
1711147088.9205,18,1
1711147088.9205,47,1
1711147088.9205,51,1
1711147088.9205,57,1
1711147088.9205,63,1
1711147088.9205,64,1
1711147088.9694629,7,1
1711147088.9694629,11,1
1711147088.9694629,14,1
1711147088.9694629,15,1
1711147088.9694629,17,1
1711147088.9694629,47,1
1711147088.9694629,51,1
1711147088.9694629,57,1
1711147088.9694629,63,1
1711147089.0215452,7,1
1711147089.0215452,11,1
1711147089.0215452,14,1
1711147089.0215452,15,1
1711147089.0215452,17,1
1711147089.0215452,47,1
1711147089.0215452,51,1
1711147089.0215452,57,1
1711147089.0215452,63,1
1711147089.0704064,7,1
1711147089.0704064,11,1
1711147089.0704064,14,1
1711147089.0704064,15,1
1711147089.0704064,17,1
1711147089.0704064,47,1
1711147089.0704064,51,1
1711147089.0704064,57,1
1711147089.0704064,63,1
1711147089.1205342,7,1
1711147089.1205342,11,1
1711147089.1205342,14,1
1711147089.1205342,15,1
1711147089.1205342,17,1
1711147089.1205342,44,1
1711147089.1205342,47,1
1711147089.1205342,51,1
1711147089.1205342,57,1
1711147089.1205342,63,1
1711147089.1695733,2,1
1711147089.1695733,7,1
1711147089.1695733,11,1
1711147089.1695733,14,1
1711147089.1695733,17,1
1711147089.1695733,44,1
1711147089.1695733,47,1
1711147089.1695733,51,1
1711147089.1695733,57,1
1711147089.1695733,63,1
1711147089.22048,2,1
1711147089.22048,7,1
1711147089.22048,11,1
1711147089.22048,14,1
1711147089.22048,17,1
1711147089.22048,44,1
1711147089.22048,45,1
1711147089.22048,47,1
1711147089.22048,51,1
1711147089.22048,57,1
1711147089.22048,63,1
1711147089.2694678,2,1
1711147089.2694678,7,1
1711147089.2694678,11,1
1711147089.2694678,14,1
1711147089.2694678,17,1
1711147089.2694678,47,1
1711147089.2694678,51,1
1711147089.2694678,57,1
1711147089.2694678,63,1
1711147089.3205996,2,1
1711147089.3205996,7,1
1711147089.3205996,11,1
1711147089.3205996,14,1
1711147089.3205996,17,1
1711147089.3205996,31,1
1711147089.3205996,47,1
1711147089.3205996,51,1
1711147089.3205996,57,1
1711147089.3205996,63,1
1711147089.3695629,2,1
1711147089.3695629,7,1
1711147089.3695629,11,1
1711147089.3695629,14,1
1711147089.3695629,17,1
1711147089.3695629,47,1
1711147089.3695629,51,1
1711147089.3695629,57,1
1711147089.3695629,63,1
1711147089.420615,7,1
1711147089.420615,11,1
1711147089.420615,14,1
1711147089.420615,17,1
1711147089.420615,38,1
1711147089.420615,47,1
1711147089.420615,51,1
1711147089.420615,57,1
1711147089.420615,63,1
1711147089.469689,7,1
1711147089.469689,10,1
1711147089.469689,11,1
1711147089.469689,14,1
1711147089.469689,17,1
1711147089.469689,47,1
1711147089.469689,51,1
1711147089.469689,57,1
1711147089.469689,63,1
1711147089.5205493,7,1
1711147089.5205493,10,1
1711147089.5205493,11,1
1711147089.5205493,14,1
1711147089.5205493,17,1
1711147089.5205493,47,1
1711147089.5205493,51,1
1711147089.5205493,52,1
1711147089.5205493,57,1
1711147089.5205493,63,1
1711147089.5696092,7,1
1711147089.5696092,10,1
1711147089.5696092,11,1
1711147089.5696092,14,1
1711147089.5696092,17,1
1711147089.5696092,47,1
1711147089.5696092,51,1
1711147089.5696092,52,1
1711147089.5696092,57,1
1711147089.5696092,63,1
1711147089.620469,7,1
1711147089.620469,10,1
1711147089.620469,11,1
1711147089.620469,14,1
1711147089.620469,17,1
1711147089.620469,47,1
1711147089.620469,51,1
1711147089.620469,52,1
1711147089.620469,57,1
1711147089.620469,63,1
1711147089.6698236,7,1
1711147089.6698236,11,1
1711147089.6698236,14,1
1711147089.6698236,17,1
1711147089.6698236,47,1
1711147089.6698236,51,1
1711147089.6698236,57,1
1711147089.6698236,63,1
1711147089.719797,7,1
1711147089.719797,11,1
1711147089.719797,14,1
1711147089.719797,17,1
1711147089.719797,24,1
1711147089.719797,47,1
1711147089.719797,51,1
1711147089.719797,57,1
1711147089.719797,63,1
1711147089.7707694,7,1
1711147089.7707694,11,1
1711147089.7707694,14,1
1711147089.7707694,17,1
1711147089.7707694,27,1
1711147089.7707694,47,1
1711147089.7707694,51,1
1711147089.7707694,57,1
1711147089.7707694,63,1
1711147089.8197205,7,1
1711147089.8197205,11,1
1711147089.8197205,14,1
1711147089.8197205,17,1
1711147089.8197205,47,1
1711147089.8197205,51,1
1711147089.8197205,57,1
1711147089.8197205,63,1
1711147089.8706453,7,1
1711147089.8706453,11,1
1711147089.8706453,14,1
1711147089.8706453,17,1
1711147089.8706453,47,1
1711147089.8706453,51,1
1711147089.8706453,54,1
1711147089.8706453,57,1
1711147089.8706453,63,1
1711147089.9204977,1,1
1711147089.9204977,7,1
1711147089.9204977,11,1
1711147089.9204977,14,1
1711147089.9204977,17,1
1711147089.9204977,47,1
1711147089.9204977,51,1
1711147089.9204977,57,1
1711147089.9204977,63,1
1711147089.9695902,1,1
1711147089.9695902,5,1
1711147089.9695902,7,1
1711147089.9695902,11,1
1711147089.9695902,14,1
1711147089.9695902,17,1
1711147089.9695902,47,1
1711147089.9695902,51,1
1711147089.9695902,57,1
1711147089.9695902,59,1
1711147089.9695902,63,1
1711147090.0205712,1,1
1711147090.0205712,7,1
1711147090.0205712,11,1
1711147090.0205712,14,1
1711147090.0205712,17,1
1711147090.0205712,37,1
1711147090.0205712,47,1
1711147090.0205712,51,1
1711147090.0205712,57,1
1711147090.0205712,63,1
1711147090.069698,7,1
1711147090.069698,11,1
1711147090.069698,14,1
1711147090.069698,17,1
1711147090.069698,47,1
1711147090.069698,51,1
1711147090.069698,57,1
1711147090.069698,63,1
1711147090.1196408,7,1
1711147090.1196408,11,1
1711147090.1196408,14,1
1711147090.1196408,17,1
1711147090.1196408,21,1
1711147090.1196408,47,1
1711147090.1196408,51,1
1711147090.1196408,57,1
1711147090.1196408,63,1
1711147090.170515,7,1
1711147090.170515,11,1
1711147090.170515,14,1
1711147090.170515,17,1
1711147090.170515,47,1
1711147090.170515,51,1
1711147090.170515,53,1
1711147090.170515,57,1
1711147090.170515,63,1
1711147090.2205484,7,1
1711147090.2205484,11,1
1711147090.2205484,14,1
1711147090.2205484,17,1
1711147090.2205484,40,1
1711147090.2205484,47,1
1711147090.2205484,51,1
1711147090.2205484,53,1
1711147090.2205484,57,1
1711147090.2205484,63,1
1711147090.2695887,6,1
1711147090.2695887,7,1
1711147090.2695887,11,1
1711147090.2695887,14,1
1711147090.2695887,17,1
1711147090.2695887,26,1
1711147090.2695887,40,1
1711147090.2695887,43,1
1711147090.2695887,47,1
1711147090.2695887,51,1
1711147090.2695887,53,1
1711147090.2695887,57,1
1711147090.2695887,63,1
1711147090.3195806,7,1
1711147090.3195806,11,1
1711147090.3195806,14,1
1711147090.3195806,17,1
1711147090.3195806,40,1
1711147090.3195806,47,1
1711147090.3195806,51,1
1711147090.3195806,57,1
1711147090.3195806,63,1
1711147090.3696404,7,1
1711147090.3696404,11,1
1711147090.3696404,14,1
1711147090.3696404,17,1
1711147090.3696404,25,1
1711147090.3696404,40,1
1711147090.3696404,47,1
1711147090.3696404,51,1
1711147090.3696404,56,1
1711147090.3696404,57,1
1711147090.3696404,63,1
1711147090.4206474,7,1
1711147090.4206474,11,1
1711147090.4206474,14,1
1711147090.4206474,17,1
1711147090.4206474,32,1
1711147090.4206474,47,1
1711147090.4206474,51,1
1711147090.4206474,57,1
1711147090.4206474,63,1
1711147090.4707522,7,1
1711147090.4707522,11,1
1711147090.4707522,14,1
1711147090.4707522,17,1
1711147090.4707522,23,1
1711147090.4707522,47,1
1711147090.4707522,51,1
1711147090.4707522,57,1
1711147090.4707522,63,1
1711147090.5204856,3,1
1711147090.5204856,7,1
1711147090.5204856,11,1
1711147090.5204856,14,1
1711147090.5204856,17,1
1711147090.5204856,47,1
1711147090.5204856,51,1
1711147090.5204856,57,1
1711147090.5204856,60,1
1711147090.5204856,63,1
1711147090.569659,4,1
1711147090.569659,7,1
1711147090.569659,11,1
1711147090.569659,14,1
1711147090.569659,17,1
1711147090.569659,42,1
1711147090.569659,47,1
1711147090.569659,51,1
1711147090.569659,57,1
1711147090.569659,63,1
1711147090.6206045,7,1
1711147090.6206045,11,1
1711147090.6206045,14,1
1711147090.6206045,17,1
1711147090.6206045,42,1
1711147090.6206045,47,1
1711147090.6206045,49,1
1711147090.6206045,51,1
1711147090.6206045,57,1
1711147090.6206045,63,1
1711147090.6706817,7,1
1711147090.6706817,11,1
1711147090.6706817,14,1
1711147090.6706817,17,1
1711147090.6706817,42,1
1711147090.6706817,47,1
1711147090.6706817,51,1
1711147090.6706817,57,1
1711147090.6706817,63,1
1711147090.7205892,7,1
1711147090.7205892,11,1
1711147090.7205892,14,1
1711147090.7205892,17,1
1711147090.7205892,19,1
1711147090.7205892,47,1
1711147090.7205892,51,1
1711147090.7205892,57,1
1711147090.7205892,63,1
1711147090.7705212,7,1
1711147090.7705212,11,1
1711147090.7705212,14,1
1711147090.7705212,17,1
1711147090.7705212,19,1
1711147090.7705212,28,1
1711147090.7705212,47,1
1711147090.7705212,51,1
1711147090.7705212,57,1
1711147090.7705212,63,1
1711147090.8205252,7,1
1711147090.8205252,11,1
1711147090.8205252,14,1
1711147090.8205252,17,1
1711147090.8205252,19,1
1711147090.8205252,47,1
1711147090.8205252,51,1
1711147090.8205252,57,1
1711147090.8205252,63,1
1711147090.8706727,7,1
1711147090.8706727,11,1
1711147090.8706727,14,1
1711147090.8706727,17,1
1711147090.8706727,19,1
1711147090.8706727,47,1
1711147090.8706727,51,1
1711147090.8706727,57,1
1711147090.8706727,63,1
1711147090.92057,7,1
1711147090.92057,11,1
1711147090.92057,14,1
1711147090.92057,17,1
1711147090.92057,19,1
1711147090.92057,47,1
1711147090.92057,51,1
1711147090.92057,57,1
1711147090.92057,63,1
1711147090.9697397,7,1
1711147090.9697397,11,1
1711147090.9697397,14,1
1711147090.9697397,17,1
1711147090.9697397,19,1
1711147090.9697397,47,1
1711147090.9697397,51,1
1711147090.9697397,57,1
1711147090.9697397,63,1
1711147091.0206523,7,1
1711147091.0206523,11,1
1711147091.0206523,14,1
1711147091.0206523,17,1
1711147091.0206523,19,1
1711147091.0206523,47,1
1711147091.0206523,50,1
1711147091.0206523,51,1
1711147091.0206523,57,1
1711147091.0206523,63,1
1711147091.0697148,7,1
1711147091.0697148,11,1
1711147091.0697148,14,1
1711147091.0697148,17,1
1711147091.0697148,19,1
1711147091.0697148,47,1
1711147091.0697148,51,1
1711147091.0697148,57,1
1711147091.0697148,63,1
1711147091.1207423,7,1
1711147091.1207423,11,1
1711147091.1207423,14,1
1711147091.1207423,17,1
1711147091.1207423,19,1
1711147091.1207423,47,1
1711147091.1207423,51,1
1711147091.1207423,57,1
1711147091.1207423,63,1
1711147091.1706777,7,1
1711147091.1706777,11,1
1711147091.1706777,14,1
1711147091.1706777,17,1
